pl_name,score
Kepler-1867 b,55.00000000000001
Kepler-1860 b,55.00000000000001
Kepler-186 f,55.00000000000001
Kepler-186 c,55.00000000000001
Kepler-186 b,55.00000000000001
Kepler-1215 b,55.00000000000001
Kepler-1213 b,55.00000000000001
Kepler-756 b,55.00000000000001
Kepler-746 b,55.00000000000001
Kepler-743 b,55.00000000000001
Kepler-1223 b,55.00000000000001
Kepler-1909 b,55.00000000000001
Kepler-1907 c,55.00000000000001
Kepler-1902 b,55.00000000000001
Kepler-1178 b,55.00000000000001
Kepler-1169 b,55.00000000000001
Kepler-1898 b,55.00000000000001
Kepler-1894 c,55.00000000000001
Kepler-1894 b,55.00000000000001
Kepler-189 b,55.00000000000001
HD 260655 b,55.00000000000001
HD 23472 f,55.00000000000001
Kepler-1514 c,55.00000000000001
