pl_name,hostname,pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_insol,pl_eqt,sy_dist
HATS-3 b,HATS-3,0.0485,15.48,340.382,0.51,0.0,1212.0044,1648.0,411.211
HATS-30 b,HATS-30,0.04354,13.170575,224.38798,0.543,0.096,718.9097,1414.0,342.14
HATS-31 b,HATS-31,0.0478,18.38276,279.6904,0.243,0.233,1619.406,1823.0,773.974
HATS-32 b,HATS-32,0.04024,14.000041,292.4036,0.58,0.471,614.5934,1437.0,745.116
HATS-33 b,HATS-33,0.03727,13.78707,378.85336,0.79,0.08,757.1284,1429.0,248.46
HATS-34 b,HATS-34,0.03166,16.02887,299.07803,0.4,0.108,691.8428,1445.0,508.842
HATS-35 b,HATS-35,0.03199,16.409976,388.38826,0.484,0.306,2440.7,2037.0,514.555
HATS-37 A b,HATS-37 A,0.04913,6.792654,31.46517,0.55,0.0,229.7,1085.0,211.896
HATS-38 b,HATS-38,0.05036,6.882326,23.51942,0.403,0.0,464.7,1294.0,343.525
HATS-39 b,HATS-39,0.06007,17.59813,200.2329,0.202,0.275,1547.1014,1645.0,878.521
HATS-4 b,HATS-4,0.0362,11.433,420.471,1.55,0.013,558.828,1315.0,416.459
HATS-40 b,HATS-40,0.04997,17.71022,505.3497,0.49,0.312,3163.3762,2101.0,1342.29
HATS-42 b,HATS-42,0.03689,15.6926,597.5204,0.83,0.229,1637.2058,1856.0,800.377
HATS-43 b,HATS-43,0.04944,13.22662,82.95363,0.191,0.173,192.2328,1003.0,362.273
HATS-44 b,HATS-44,0.03649,11.960003,177.9848,0.56,0.279,306.417,1161.0,446.035
HATS-45 b,HATS-45,0.05511,14.414774,222.481,0.41,0.24,811.3504,1518.0,772.11
HATS-46 b,HATS-46,0.05367,10.121727,54.98459,0.28,0.559,209.7699,1054.0,453.808
HATS-47 b,HATS-47,0.04269,12.520453,117.27927,0.331,0.088,87.73,852.9,300.67
HATS-48 A b,HATS-48 A,0.03769,8.9672,77.23269,0.589,0.162,137.6,954.6,263.609
HATS-49 b,HATS-49,0.04515,8.574885,112.19399,0.986,0.071,80.45,834.8,324.413
HATS-5 b,HATS-5,0.0542,10.223,75.323,0.39,0.019,183.2395,1025.0,246.384
HATS-51 b,HATS-51,0.04639,15.80469,244.09344,0.34,0.33,740.2246,1553.0,389.57
HATS-52 b,HATS-52,0.02498,15.490838,711.9392,1.06,0.246,1310.22,1834.0,555.134
HATS-53 b,HATS-53,0.04753,15.02006,189.10885,0.303,0.33,471.61,1312.0,585.77
HATS-54 b,HATS-54,0.037,11.37711541,239.32479047,0.77,0.0,476.965,1429.0,748.585
HATS-55 b,HATS-55,0.05412,14.022459,292.72143,0.587,0.092,355.909,1367.0,609.838
HATS-56 b,HATS-56,0.06043,18.920792,191.33366,0.155,0.019,1080.87,1902.0,564.409
HATS-58 A b,HATS-58 A,0.05798,12.273855,327.3649,0.96,0.168,382.7112,1721.0,403.591
HATS-59 b,HATS-59,0.06112,12.621334,256.17098,0.7,0.129,269.0,1128.0,642.884
HATS-6 b,HATS-6,0.03623,11.186582,101.38777,0.399,0.0,47.3315,712.8,169.318
HATS-60 b,HATS-60,0.04708,12.923977,210.40346,0.537,0.191,903.9,1528.0,486.474
HATS-62 b,HATS-62,0.04163,11.825495,56.89157,0.076,0.298,387.4,1237.0,523.067
HATS-63 b,HATS-63,0.04026,13.529263,305.1168,0.67,0.136,634.1,1398.3,623.232
HATS-64 b,HATS-64,0.06562,18.819911,305.1168,0.245,0.151,1711.0,1793.0,1080.15
HATS-65 b,HATS-65,0.04497,16.824709,260.93843,0.3,0.062,1178.0,1634.0,493.32
HATS-67 b,HATS-67,0.03032,18.887165,460.8535,0.374,0.057,3821.0,2193.0,960.109
HATS-68 b,HATS-68,0.05071,13.809488,410.0007,0.856,0.036,1521.0,1741.0,603.955
HATS-69 b,HATS-69,0.03211,10.592505,183.38791,0.46,0.519,466.6,1295.7,414.537
HATS-7 b,HATS-7,0.04012,6.310667,38.1396,0.83,0.17,211.6178,1084.0,240.707
HATS-71 b,HATS-71,0.03745,11.478016,117.5971,0.42,0.0,18.0832,586.8,140.225
HATS-72 b,HATS-72,0.066517,8.0973816,39.855882,0.411,0.013,49.58,739.3,127.589
HATS-74 A b,HATS-74 A,0.02384,11.56766808,464.02947422,1.64,0.044,106.9,895.1,299.389
HATS-75 b,HATS-75,0.032742,9.90873894,156.05374784,0.878,0.064,59.26,772.3,194.964
HATS-76 b,HATS-76,0.02658,12.09449018,835.570882,2.58,0.062,129.8,939.8,385.689
HATS-77 b,HATS-77,0.03607,13.05846252,436.69623122,1.077,0.045,78.37,828.3,436.176
HD 106315 b,HD 106315,0.0907,2.44,12.6,4.7,0.093,240.0,1153.0,109.353
HD 106315 c,HD 106315,0.1536,4.35,15.2,1.01,0.22,83.0,886.0,109.353
HD 108236 b,HD 108236,0.04527,1.615,3.24,4.23,0.045,312.1807,1099.0,64.5978
HD 108236 c,HD 108236,0.062,2.071,4.94,3.06,0.034,162.1675,932.0,64.5978
HD 108236 d,HD 108236,0.1074,2.539,6.98,2.34,0.055,53.8795,708.0,64.5978
HD 108236 e,HD 108236,0.1367,3.083,9.71,1.82,0.058,35.0031,636.0,64.5978
HD 109286 b,HD 109286,1.259,13.2,950.30693693,2.27,0.338,0.709,259.4,55.4156
HD 110082 b,HD 110082,0.113,3.2,10.3,1.73,0.2,198.3948,957.2,105.096
HD 110113 b,HD 110113,0.035,2.05,4.55,2.9,0.093,735.49,1371.0,106.307
HD 110113 c,HD 110113,0.068,2.11384817,10.5,6.11,0.045,199.9,990.0,106.307
HD 118203 b,HD 118203,0.0713,12.778238,680.15279098,1.79,0.3136,593.4,1361.0,92.2589
HD 135694 b,HD 135694,0.124695,2.857,6.1,2.05,0.0,71.8,750.83,73.8713
HD 136352 b,HD 136352,0.0964,1.664,4.72,5.623888,0.0,111.6,905.0,14.682
HD 136352 c,HD 136352,0.1721,2.916,11.24,2.497668,0.0,35.1,677.0,14.682
HD 136352 d,HD 136352,0.425,2.562,8.82,2.878108,0.0,5.74,431.0,14.682
HD 1397 b,HD 1397,0.1097,11.500434,131.89945,0.477,0.251,356.0,1228.3,79.5702
HD 149026 b,HD 149026,0.04364,8.29466,120.7754,0.75,0.0,1095.91,1626.0,75.8643
HD 152843 b,HD 152843,0.1053,3.41,11.56,1.58,0.14,255.7,1003.11,107.898
