pl_name,hostname,pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_insol,pl_eqt,sy_dist
Kepler-259 c,Kepler-259,0.217,2.7,7.75,2.16,0.0,15.054,530.0,1002.14
Kepler-26 b,Kepler-26,0.08551,2.78,5.12,1.26,0.021,7.6,431.0,335.307
Kepler-26 c,Kepler-26,0.10725,2.72,6.2,1.61,0.013,4.82,385.0,335.307
Kepler-26 d,Kepler-26,0.039,1.07,1.24,5.56,0.0,31.79,652.0,335.307
Kepler-26 e,Kepler-26,0.22,2.41,6.39,2.51,0.0,1.753,276.0,335.307
Kepler-260 b,Kepler-260,0.075,2.01,4.7,3.18,0.0,132.134,782.0,627.365
Kepler-260 c,Kepler-260,0.332,1.74,3.68,3.84,0.0,6.775,372.0,627.365
Kepler-261 b,Kepler-261,0.088,2.18,5.39,2.86,0.0,45.779,672.0,317.499
Kepler-261 c,Kepler-261,0.156,2.0,4.66,3.2,0.0,14.512,505.0,317.499
Kepler-262 b,Kepler-262,0.108,1.36,2.42,5.29,0.0,50.169,734.0,613.129
Kepler-262 c,Kepler-262,0.152,1.64,3.33,4.15,0.0,25.26,618.0,613.129
Kepler-263 b,Kepler-263,0.12,2.67,7.61,2.2,0.0,24.308,548.0,754.747
Kepler-263 c,Kepler-263,0.242,2.47,6.66,2.43,0.0,5.994,386.0,754.747
Kepler-264 b,Kepler-264,0.249,3.33,11.1,1.65,0.0,79.478,772.0,942.173
Kepler-264 c,Kepler-264,0.566,2.83,8.4,2.04,0.0,15.347,511.0,942.173
Kepler-265 b,Kepler-265,0.069,1.86,4.12,3.52,0.0,220.328,1022.0,1280.25
Kepler-265 c,Kepler-265,0.127,2.63,7.41,2.24,0.0,65.359,755.0,1280.25
Kepler-265 d,Kepler-265,0.236,2.49,6.76,2.41,0.0,18.941,554.0,1280.25
Kepler-265 e,Kepler-265,0.319,2.59,7.22,2.28,0.0,10.354,476.0,1280.25
Kepler-266 b,Kepler-266,0.071,2.48,6.71,2.42,0.0,230.403,1066.0,1370.79
Kepler-266 c,Kepler-266,0.457,3.89,14.4,1.34,0.0,5.592,421.0,1370.79
Kepler-267 b,Kepler-267,0.037,1.98,37.9,26.8,0.0,45.843,615.0,264.993
Kepler-267 c,Kepler-267,0.06,2.13,5.18,2.95,0.0,17.583,484.0,264.993
Kepler-267 d,Kepler-267,0.154,2.27,5.77,2.71,0.0,2.647,301.0,264.993
Kepler-268 b,Kepler-268,0.18,2.55,7.04,2.33,0.0,64.933,695.0,851.87
Kepler-268 c,Kepler-268,0.391,3.38,11.4,1.62,0.0,13.662,471.0,851.87
Kepler-269 b,Kepler-269,0.061,2.47,6.66,2.43,0.0,604.9,1007.0,2257.32
Kepler-269 c,Kepler-269,0.081,1.69,3.5,3.98,0.0,342.6,875.0,2257.32
Kepler-27 d,Kepler-27,0.06578,2.7061946,7.78,2.16,0.0,88.2,810.0,1044.36
Kepler-270 b,Kepler-270,0.107,2.01,4.7,3.18,0.0,178.362,984.0,948.781
Kepler-270 c,Kepler-270,0.18,1.77,3.78,3.75,0.0,62.241,756.0,948.781
Kepler-271 b,Kepler-271,0.08784,1.23,2.04,6.02,0.0,75.957,759.0,404.542
Kepler-271 c,Kepler-271,0.06993,0.95,0.809,5.18,0.0,119.631,850.0,404.542
Kepler-271 d,Kepler-271,0.05554,0.66,0.219,4.19,0.0,189.343,954.0,404.542
Kepler-272 d,Kepler-272,0.091,2.25,5.69,2.74,0.0,141.135,777.0,889.608
Kepler-273 b,Kepler-273,0.037,1.5,2.86,4.66,0.0,285.636,1209.0,713.964
Kepler-273 c,Kepler-273,0.073,1.98,4.58,3.24,0.0,74.887,865.0,713.964
Kepler-274 b,Kepler-274,0.101,1.54,2.99,4.5,0.0,147.812,961.0,1333.62
Kepler-274 c,Kepler-274,0.204,1.84,4.04,3.56,0.0,36.518,678.0,1333.62
Kepler-275 b,Kepler-275,0.098,2.34,6.08,2.61,0.0,266.3,1015.0,2034.25
Kepler-275 c,Kepler-275,0.132,3.38,11.4,1.62,0.0,146.5,875.0,2034.25
Kepler-275 d,Kepler-275,0.224,3.33,11.1,1.65,0.0,50.7,671.0,2034.25
Kepler-276 c,Kepler-276,0.18619,2.9,16.6,0.89,0.0,19.793,563.0,1144.86
Kepler-276 d,Kepler-276,0.24666,2.8,16.3,0.76,0.0,11.274,489.0,1144.86
Kepler-277 b,Kepler-277,0.14168,2.92,87.3,9.2,0.0,198.245,964.0,976.643
Kepler-277 c,Kepler-277,0.21781,3.36,64.2,7.8,0.0,83.898,778.0,976.643
Kepler-278 b,Kepler-278,0.207,4.07,15.6,1.27,0.04,99.265,836.0,443.03
Kepler-278 c,Kepler-278,0.294,3.59,12.6,1.5,0.51,49.151,702.0,443.03
Kepler-279 c,Kepler-279,0.2236,4.3,49.4,0.3,0.0,60.157,774.0,1037.4
Kepler-279 d,Kepler-279,0.2901,3.1,37.5,0.3,0.0,35.739,574.0,1037.4
Kepler-279 e,Kepler-279,0.439,4.13,56.0,7.3,0.0,21.96,552.0,1037.4
Kepler-28 b,Kepler-28,0.05687,1.959,1.63,1.185427,0.0,62.577,585.0,438.359
Kepler-28 c,Kepler-28,0.07519,1.857,2.06,1.764357,0.017,35.898,509.0,438.359
Kepler-280 b,Kepler-280,0.032,1.45,2.7,4.87,0.0,821.894,1425.0,780.361
Kepler-280 c,Kepler-280,0.056,2.01,4.7,3.18,0.0,279.085,1088.0,780.361
Kepler-281 c,Kepler-281,0.215,5.31,161.124,0.0051,0.0,35.203,513.0,1745.45
Kepler-281 d,Kepler-281,0.5456,5.93747806,654.0,12.3,0.0,2.51,321.0,1745.45
Kepler-282 b,Kepler-282,0.082,1.01,1.01,5.39,0.0,195.935,817.0,1337.61
Kepler-282 c,Kepler-282,0.106,1.2,1.87,5.95,0.0,116.117,717.0,1337.61
Kepler-282 d,Kepler-282,0.15837,2.46,61.0,22.5,0.0,52.348,588.0,1337.61
Kepler-282 e,Kepler-282,0.23332,3.1,56.2,10.4,0.0,24.114,484.0,1337.61
Kepler-283 b,Kepler-283,0.082,2.13,5.18,2.95,0.0,16.26,488.0,468.094
Kepler-283 c,Kepler-283,0.341,1.82,3.97,3.62,0.0,0.949,240.0,468.094
Kepler-284 b,Kepler-284,0.104,2.24,5.65,2.76,0.0,38.366,686.0,1031.95
Kepler-284 c,Kepler-284,0.213,2.61,7.32,2.26,0.0,9.042,478.0,1031.95
Kepler-285 b,Kepler-285,0.036,1.34,2.36,5.39,0.0,428.407,1131.0,824.31
Kepler-285 c,Kepler-285,0.064,1.12,1.46,5.71,0.0,137.068,851.0,824.31
Kepler-286 b,Kepler-286,0.027,1.24,2.07,5.97,0.0,850.1,1367.0,1226.85
Kepler-286 c,Kepler-286,0.042,1.37,2.45,5.24,0.0,353.0,1098.0,1226.85
Kepler-286 d,Kepler-286,0.061,1.33,2.33,5.44,0.0,173.9,919.0,1226.85
Kepler-286 e,Kepler-286,0.176,1.77,3.78,3.75,0.0,20.6,539.0,1226.85
Kepler-287 b,Kepler-287,0.145,2.33,83.0,27.3,0.0,35.75,667.0,835.86
Kepler-287 c,Kepler-287,0.246,3.26,66.0,15.4,0.0,12.457,513.0,835.86
Kepler-288 b,Kepler-288,0.065,1.67,3.43,4.05,0.0,247.301,1197.0,1194.15
Kepler-288 c,Kepler-288,0.14,2.85,8.5,2.02,0.0,53.148,815.0,1194.15
Kepler-288 d,Kepler-288,0.287,2.67,7.61,2.2,0.0,12.659,570.0,1194.15
Kepler-289 b,Kepler-289,0.21183,2.49,3.7,1.45,0.0,27.371,607.0,704.438
Kepler-289 c,Kepler-289,0.50155,11.23,157.18,0.66,0.0,4.882,394.0,704.438
Kepler-289 e,Kepler-289,0.9342,2.94,17.4,2.92,0.0,1.58,286.0,704.438
Kepler-29 b,Kepler-29,0.08482,2.55,5.0,1.65,0.0,55.9,777.0,832.532
Kepler-29 c,Kepler-29,0.10027,2.34,4.5,1.91,0.0,34.4,715.0,832.532
Kepler-290 b,Kepler-290,0.11,2.25,5.69,2.74,0.0,22.637,594.0,694.627
Kepler-290 c,Kepler-290,0.205,2.7,7.75,2.16,0.0,6.596,437.0,694.627
Kepler-290 d,Kepler-290,0.0154,0.86,0.566,4.89,0.0,1503.79,1589.0,694.627
Kepler-291 b,Kepler-291,0.047,2.16,5.31,2.9,0.0,627.374,1212.0,1786.48
Kepler-291 c,Kepler-291,0.065,1.88,4.19,3.47,0.0,332.737,1035.0,1786.48
Kepler-292 b,Kepler-292,0.035,1.32,2.3,5.5,0.0,394.301,1130.0,1056.48
Kepler-292 c,Kepler-292,0.045,1.47,2.76,4.77,0.0,242.416,1001.0,1056.48
Kepler-292 d,Kepler-292,0.068,2.23,5.6,2.77,0.0,103.005,808.0,1056.48
Kepler-292 e,Kepler-292,0.097,2.67,7.61,2.2,0.0,50.924,678.0,1056.48
Kepler-292 f,Kepler-292,0.141,2.35,6.12,2.59,0.0,24.325,563.0,1056.48
Kepler-293 b,Kepler-293,0.144,3.07,9.64,1.83,0.0,28.944,657.0,974.633
Kepler-293 c,Kepler-293,0.286,3.83,14.0,1.37,0.0,7.287,466.0,974.633
Kepler-294 b,Kepler-294,0.048,1.77,3.78,3.75,0.0,329.801,1087.0,1357.01
Kepler-294 c,Kepler-294,0.071,2.71,7.8,2.15,0.0,151.491,895.0,1357.01
Kepler-295 b,Kepler-295,0.099,1.22,1.98,5.99,0.0,287.5,741.0,1699.19
Kepler-295 c,Kepler-295,0.142,1.17,1.71,5.87,0.0,141.4,621.0,1699.19
Kepler-295 d,Kepler-295,0.192,1.36,2.42,5.29,0.0,104.962,533.0,1699.19
Kepler-296 b,Kepler-296,0.079,1.61,3.22,3.0,0.33,6.5,495.0,167.0
Kepler-296 c,Kepler-296,0.0521,2.0,4.66,1.2,0.33,14.8,606.0,167.0
Kepler-296 d,Kepler-296,0.118,2.09,5.02,1.9,0.33,2.9,403.0,167.0
Kepler-296 e,Kepler-296,0.169,1.53,2.96,4.1,0.33,1.41,337.0,167.0
Kepler-296 f,Kepler-296,0.255,1.8,3.89,3.2,0.33,0.62,274.0,167.0
Kepler-297 b,Kepler-297,0.217,2.87,48.5,11.3,0.0,16.464,509.0,692.14
Kepler-297 c,Kepler-297,0.336,6.54,42.1,0.827,0.0,6.86,409.0,692.14
Kepler-298 b,Kepler-298,0.08,1.96,4.5,3.28,0.0,24.707,540.0,518.204
Kepler-298 c,Kepler-298,0.136,1.93,4.38,3.35,0.0,8.696,416.0,518.204
Kepler-298 d,Kepler-298,0.305,2.5,6.8,2.39,0.0,1.715,277.0,518.204
Kepler-299 b,Kepler-299,0.04,1.32,2.3,5.5,0.0,622.067,1258.0,1052.24
Kepler-299 c,Kepler-299,0.07,2.65,7.51,2.22,0.0,198.554,946.0,1052.24
Kepler-299 d,Kepler-299,0.118,1.86,4.12,3.52,0.0,69.96,729.0,1052.24
Kepler-299 e,Kepler-299,0.22,1.87,4.16,3.5,0.0,20.174,534.0,1052.24
Kepler-30 b,Kepler-30,0.18,3.9,11.3,1.02,0.042,16.379,524.0,914.221
Kepler-30 c,Kepler-30,0.3,12.3,640.0,1.88,0.0111,6.217,411.0,914.221
Kepler-30 d,Kepler-30,0.5,8.8,23.1,0.19,0.022,1.962,308.0,914.221
Kepler-300 b,Kepler-300,0.094,1.67,3.43,4.05,0.0,265.186,812.0,1098.45
Kepler-300 c,Kepler-300,0.232,2.25,5.69,2.74,0.0,43.248,516.0,1098.45
Kepler-301 b,Kepler-301,0.036,1.35,2.39,5.34,0.0,665.437,1278.0,719.166
Kepler-301 c,Kepler-301,0.06,1.35,2.39,5.34,0.0,238.481,989.0,719.166
Kepler-301 d,Kepler-301,0.112,1.75,3.71,3.8,0.0,68.931,725.0,719.166
Kepler-302 b,Kepler-302,0.193,4.06,15.5,1.27,0.0,31.247,634.0,1402.58
Kepler-303 b,Kepler-303,0.024,0.89,0.64,4.99,0.0,145.436,802.0,209.738
Kepler-303 c,Kepler-303,0.057,1.14,1.55,5.75,0.0,25.851,521.0,209.738
Kepler-304 b,Kepler-304,0.039,2.86,8.55,2.01,0.0,139.146,875.0,434.684
Kepler-304 c,Kepler-304,0.054,2.17,5.35,2.88,0.0,73.598,746.0,434.684
Kepler-304 d,Kepler-304,0.08,2.75,8.0,2.11,0.0,33.16,611.0,434.684
Kepler-304 e,Kepler-304,0.02317,1.2,1.87,5.95,0.0,397.254,1137.0,434.684
Kepler-305 b,Kepler-305,0.05746,3.6,10.5,1.24,0.005,112.914,836.0,868.477
Kepler-305 c,Kepler-305,0.07568,3.3,6.0,0.917,0.0,65.1,728.0,868.477
Kepler-305 d,Kepler-305,0.12091,2.76,6.2,1.63203,0.0,25.523,576.0,868.477
Kepler-305 e,Kepler-305,0.04017,1.7938153,3.87,3.68,0.0,220.4,1000.0,868.477
Kepler-306 b,Kepler-306,0.05,1.52,2.92,4.57,0.0,127.255,830.0,775.679
Kepler-306 c,Kepler-306,0.067,2.35,6.12,2.59,0.0,70.449,716.0,775.679
Kepler-306 d,Kepler-306,0.12,2.47,6.66,2.43,0.0,21.983,535.0,775.679
Kepler-306 e,Kepler-306,0.227,2.27,5.77,2.71,0.0,6.185,390.0,775.679
Kepler-307 b,Kepler-307,0.09359,2.43,7.44,2.62,0.0,59.7,797.0,575.581
Kepler-307 c,Kepler-307,0.10896,2.2,3.64,1.74,0.0,44.0,739.0,575.581
Kepler-308 b,Kepler-308,0.09,2.12,5.14,2.96,0.0,108.64,833.0,1335.92
Kepler-308 c,Kepler-308,0.123,2.16,5.31,2.9,0.0,58.679,714.0,1335.92
Kepler-309 b,Kepler-309,0.059,1.56,3.05,4.41,0.0,99.493,531.0,544.568
Kepler-309 c,Kepler-309,0.401,2.51,6.85,2.38,0.0,2.142,204.0,544.568
Kepler-31 b,Kepler-31,0.16,5.5,36.7418,0.78,0.0,91.474,781.0,1664.64
Kepler-310 b,Kepler-310,0.111,1.19,1.81,5.9,0.0,45.97,665.0,602.268
Kepler-310 c,Kepler-310,0.281,3.38,11.4,1.62,0.0,7.109,417.0,602.268
Kepler-310 d,Kepler-310,0.392,2.47,7.0,3.3,0.0,3.664,353.0,602.268
Kepler-311 b,Kepler-311,0.087,1.7,3.53,3.95,0.0,201.362,960.0,778.654
Kepler-311 c,Kepler-311,0.145,1.43,2.63,4.94,0.0,72.456,744.0,778.654
Kepler-311 d,Kepler-311,0.7326,2.05,4.86,3.1,0.0,2.71,327.0,778.654
Kepler-312 c,Kepler-312,0.153,3.15,10.1,1.78,0.0,165.824,754.0,797.72
Kepler-313 b,Kepler-313,0.125,2.53,6.94,2.35,0.0,142.4,883.0,1079.39524871
Kepler-313 c,Kepler-313,0.208,2.57,7.13,2.31,0.0,51.1,683.0,1079.39524871
Kepler-314 b,Kepler-314,0.035,0.83,0.498,4.79,0.0,488.674,1195.0,268.881
Kepler-314 c,Kepler-314,0.064,2.9,8.75,1.97,0.0,149.977,890.0,268.881
Kepler-315 b,Kepler-315,0.402,3.77,13.7,1.4,0.0,6.674,409.0,1160.63
Kepler-315 c,Kepler-315,0.791,4.15,16.1,1.24,0.0,1.722,291.0,1160.63
Kepler-316 b,Kepler-316,0.027,1.06,1.2,5.54,0.0,164.776,837.0,384.938
Kepler-316 c,Kepler-316,0.058,1.16,1.65,5.81,0.0,37.377,577.0,384.938
Kepler-317 c,Kepler-317,0.083,1.72,3.61,3.9,0.0,81.761,837.0,940.584
Kepler-318 b,Kepler-318,0.056,4.71,19.9,1.05,0.0,333.149,1039.0,489.141
Kepler-318 c,Kepler-318,0.105,3.68,13.1,1.44,0.0,96.513,762.0,489.141
Kepler-319 b,Kepler-319,0.051,1.63,3.29,4.17,0.0,253.665,1023.0,503.436
Kepler-319 c,Kepler-319,0.069,2.63,7.41,2.24,0.0,136.343,876.0,503.436
Kepler-319 d,Kepler-319,0.191,2.29,5.86,2.68,0.0,17.962,528.0,503.436
Kepler-32 c,Kepler-32,0.09,2.0,158.9,0.33,0.0,10.68,451.0,323.847
Kepler-32 d,Kepler-32,0.13,2.7,67.4815,0.52,0.0,3.631,328.0,323.847
Kepler-32 e,Kepler-32,0.033,1.5,4.08181,0.091,0.0,56.649,652.0,323.847
Kepler-32 f,Kepler-32,0.013,0.82,969.228,1.5,0.0,349.645,1026.0,323.847
Kepler-320 b,Kepler-320,0.085,1.14,1.55,5.75,0.0,280.559,1292.0,826.613
Kepler-320 c,Kepler-320,0.142,1.37,2.45,5.24,0.0,101.619,1002.0,826.613
Kepler-321 b,Kepler-321,0.057,1.77,3.78,3.75,0.0,296.155,1042.0,384.542
Kepler-321 c,Kepler-321,0.11,2.32,5.99,2.64,0.0,80.103,752.0,384.542
Kepler-322 b,Kepler-322,0.027,1.01,1.01,5.39,0.0,735.179,1373.0,400.48
Kepler-322 c,Kepler-322,0.051,1.67,3.43,4.05,0.0,203.406,996.0,400.48
Kepler-323 b,Kepler-323,0.02778,1.381,3.9,8.2,0.095,1900.0,1838.0,454.883
Kepler-323 c,Kepler-323,0.0458,1.57,6.8,9.6,0.095,700.0,1431.0,454.883
Kepler-324 c,Kepler-324,0.26,3.15,6.2,1.73,0.0,7.233,410.0,501.574
Kepler-324 e,Kepler-324,0.10972,2.03862444,235.014,0.16,0.0,38.9,635.0,501.574
Kepler-325 b,Kepler-325,0.053,2.91,8.8,1.96,0.0,210.554,1017.0,823.242
Kepler-325 c,Kepler-325,0.105,2.54,6.99,2.34,0.0,53.044,721.0,823.242
Kepler-325 d,Kepler-325,0.22,2.79,8.2,2.07,0.0,12.083,498.0,823.242
Kepler-326 d,Kepler-326,0.066,1.21,6.9,21.4,0.0,180.644,781.0,487.675
Kepler-327 b,Kepler-327,0.029,1.11,1.41,5.67,0.0,73.056,682.0,241.987
Kepler-327 d,Kepler-327,0.09,1.73,3.64,3.86,0.0,7.59,387.0,241.987
Kepler-328 b,Kepler-328,0.2199,2.3,28.5,7.8,0.0,57.079,602.0,2213.19
Kepler-328 c,Kepler-328,0.354,5.4,39.4,0.6,0.0,22.025,475.0,2213.19
Kepler-329 b,Kepler-329,0.061,1.4,2.54,5.09,0.0,40.689,547.0,439.719
Kepler-329 c,Kepler-329,0.113,1.93,4.38,3.35,0.0,11.869,402.0,439.719
Kepler-33 b,Kepler-33,0.0677,1.74,3.68,3.84,0.0,744.011,1336.0,1209.16
Kepler-33 c,Kepler-33,0.1189,3.2,0.39,0.13,0.0,241.759,1009.0,1209.16
Kepler-33 d,Kepler-33,0.1662,5.35,3.91,0.25,0.0,123.691,853.0,1209.16
Kepler-33 e,Kepler-33,0.2138,4.02,5.57,0.8,0.0,74.72,752.0,1209.16
Kepler-33 f,Kepler-33,0.2535,4.46,9.6,0.9,0.0,53.183,691.0,1209.16
Kepler-330 b,Kepler-330,0.075,1.35,2.39,5.34,0.0,66.578,714.0,717.527
Kepler-330 c,Kepler-330,0.116,1.95,4.46,3.31,0.0,27.676,573.0,717.527
Kepler-331 b,Kepler-331,0.065,1.82,3.97,3.62,0.0,35.984,540.0,580.119
Kepler-331 c,Kepler-331,0.105,1.84,4.04,3.56,0.0,13.888,425.0,580.119
Kepler-331 d,Kepler-331,0.159,1.64,3.33,4.15,0.0,6.065,346.0,580.119
Kepler-332 b,Kepler-332,0.07,1.17,1.71,5.87,0.0,53.712,703.0,344.19
Kepler-332 c,Kepler-332,0.114,1.09,1.32,5.6,0.0,19.986,550.0,344.19
Kepler-332 d,Kepler-332,0.189,1.18,1.76,5.89,0.0,7.253,427.0,344.19
Kepler-333 c,Kepler-333,0.135,1.11,1.41,5.67,0.0,7.049,386.0,324.413
Kepler-334 b,Kepler-334,0.061,1.12,1.46,5.71,0.0,300.982,1090.0,426.59
Kepler-334 c,Kepler-334,0.107,1.43,2.63,4.94,0.0,97.21,822.0,426.59
Kepler-334 d,Kepler-334,0.168,1.41,2.57,5.04,0.0,39.475,656.0,426.59
Kepler-335 b,Kepler-335,0.075,3.39,11.4,1.61,0.0,721.124,1290.0,1278.97
Kepler-335 c,Kepler-335,0.356,3.07,9.64,1.83,0.0,32.035,592.0,1278.97
Kepler-336 b,Kepler-336,0.033,1.02,1.04,5.39,0.0,1652.5,1625.0,768.86
Kepler-336 c,Kepler-336,0.092,2.1,5.06,3.0,0.0,206.91,967.0,768.86
Kepler-336 d,Kepler-336,0.154,2.37,6.21,2.56,0.0,74.36,749.0,768.86
Kepler-337 b,Kepler-337,0.045,1.54,2.99,4.5,0.0,1589.012,1458.0,677.975
Kepler-337 c,Kepler-337,0.093,2.05,4.86,3.1,0.0,376.21,1017.0,677.975
Kepler-338 b,Kepler-338,0.117,2.44,30.6,11.6,0.04,256.606,1005.0,552.798
Kepler-338 c,Kepler-338,0.172,2.34,6.08,2.61,0.03,119.648,831.0,552.798
Kepler-338 d,Kepler-338,0.257,3.0,9.27,1.89,0.03,53.556,680.0,552.798
Kepler-338 e,Kepler-338,0.08979,1.56,8.5,12.3,0.05,428.524,1143.0,552.798
Kepler-339 b,Kepler-339,0.055,1.42,2.6,4.99,0.0,159.945,1023.0,616.637
Kepler-339 c,Kepler-339,0.069,1.15,7.3,26.4,0.0,101.841,914.0,616.637
Kepler-340 b,Kepler-340,0.134,2.53,6.94,2.35,0.0,274.318,1092.0,808.762
Kepler-340 c,Kepler-340,0.178,3.37,11.3,1.62,0.0,154.653,946.0,808.762
Kepler-341 b,Kepler-341,0.06,1.18,1.76,5.89,0.0,422.097,1085.0,1047.03
Kepler-341 c,Kepler-341,0.08,1.7,3.53,3.95,0.0,237.43,940.0,1047.03
Kepler-341 d,Kepler-341,0.182,1.85,4.08,3.54,0.0,45.423,622.0,1047.03
Kepler-341 e,Kepler-341,0.242,1.99,4.62,3.22,0.0,25.667,539.0,1047.03
Kepler-342 b,Kepler-342,0.128,2.25,5.69,2.74,0.0,160.261,905.0,781.611
Kepler-342 c,Kepler-342,0.185,1.96,4.5,3.28,0.0,77.29,754.0,781.611
Kepler-342 d,Kepler-342,0.242,2.49,6.76,2.41,0.0,44.828,658.0,781.611
Kepler-342 e,Kepler-342,0.02909,0.88,0.615,4.96,0.0,3111.322,1897.0,781.611
Kepler-343 b,Kepler-343,0.088,2.41,6.39,2.51,0.0,206.072,1024.0,927.193
Kepler-343 c,Kepler-343,0.167,2.02,4.74,3.16,0.0,57.932,746.0,927.193
Kepler-344 b,Kepler-344,0.153,2.61,7.32,2.26,0.0,27.327,643.0,1002.94
Kepler-344 c,Kepler-344,0.488,2.95,9.01,1.93,0.0,2.673,360.0,1002.94
Kepler-345 b,Kepler-345,0.066,0.74,0.48,4.8,0.0,35.37,622.0,260.0
Kepler-345 c,Kepler-345,0.077,1.2,2.2,1.22,0.0,25.83,575.0,260.0
Kepler-346 b,Kepler-346,0.071,2.66,7.56,2.21,0.0,134.357,1008.0,984.105
Kepler-346 c,Kepler-346,0.168,3.07,9.64,1.83,0.0,23.812,654.0,984.105
Kepler-347 b,Kepler-347,0.11,1.97,4.54,3.26,0.0,180.549,908.0,1298.88
Kepler-347 c,Kepler-347,0.183,1.75,3.71,3.8,0.0,65.707,705.0,1298.88
Kepler-347 d,Kepler-347,0.3802,3.04,9.48,1.85,0.0,12.75,482.0,1298.88
Kepler-348 b,Kepler-348,0.076,1.52,2.92,4.57,0.0,438.942,1196.0,570.783
Kepler-348 c,Kepler-348,0.138,1.33,2.33,5.44,0.0,133.259,888.0,570.783
Kepler-349 c,Kepler-349,0.105,1.96,4.5,3.28,0.0,94.491,763.0,940.724
Kepler-350 b,Kepler-350,0.104,1.85,16.9,4.9,0.0,257.721,1037.0,956.859
Kepler-350 c,Kepler-350,0.1385,3.1,6.1,0.35,0.0,138.415,888.0,956.859
Kepler-350 d,Kepler-350,0.1786,2.8,14.9,2.69,0.0,83.237,782.0,956.859
Kepler-351 b,Kepler-351,0.214,3.06,4.8,0.921,0.0,11.983,498.0,1083.91
Kepler-351 c,Kepler-351,0.287,3.19,11.1,1.88,0.0,6.712,431.0,1083.91
Kepler-351 d,Kepler-351,0.5177,2.72,7.85,2.14,0.0,1.989,318.0,1083.91
Kepler-352 b,Kepler-352,0.085,0.86,0.566,4.89,0.0,50.389,694.0,252.733
Kepler-352 c,Kepler-352,0.118,1.24,2.07,5.97,0.0,26.373,591.0,252.733
Kepler-352 d,Kepler-352,0.06574,0.80628032,0.449,4.71,0.0,81.3,788.0,252.733
Kepler-353 b,Kepler-353,0.051,0.89,0.64,4.99,0.0,27.189,534.0,384.694
Kepler-353 c,Kepler-353,0.065,1.38,2.48,5.19,0.0,16.561,472.0,384.694
Kepler-354 b,Kepler-354,0.054,1.84,4.04,3.56,0.0,64.845,741.0,554.064
Kepler-354 c,Kepler-354,0.115,1.31,2.27,5.55,0.0,14.404,508.0,554.064
Kepler-354 d,Kepler-354,0.146,1.24,2.07,5.97,0.0,8.949,451.0,554.064
Kepler-355 b,Kepler-355,0.102,1.46,2.73,4.82,0.0,154.803,840.0,1432.17
Kepler-355 c,Kepler-355,0.179,2.71,7.8,2.15,0.0,49.973,633.0,1432.17
Kepler-356 b,Kepler-356,0.057,1.57,3.09,4.39,0.0,844.979,1294.0,707.559
Kepler-356 c,Kepler-356,0.115,1.81,3.93,3.64,0.0,209.368,913.0,707.559
Kepler-357 b,Kepler-357,0.063,1.84,4.04,3.56,0.0,69.57,793.0,688.573
Kepler-357 c,Kepler-357,0.12,2.67,7.61,2.2,0.0,19.404,576.0,688.573
Kepler-357 d,Kepler-357,0.246,3.43,11.6,1.58,0.0,4.619,402.0,688.573
Kepler-358 b,Kepler-358,0.21,2.72,7.85,2.14,0.0,21.805,554.0,1101.1
Kepler-358 c,Kepler-358,0.381,2.85,8.5,2.02,0.0,6.599,411.0,1101.1
Kepler-359 b,Kepler-359,0.178,3.53,12.2,1.52,0.0,23.9,671.0,1443.21
Kepler-359 c,Kepler-359,0.307,4.3,2.9,0.1,0.0,8.1,512.0,1443.21
Kepler-359 d,Kepler-359,0.372,4.01,2.7,0.1,0.0,5.5,464.0,1443.21
Kepler-36 b,Kepler-36,0.11419,1.498,3.83,6.26,0.0,247.0,978.0,527.956
Kepler-36 c,Kepler-36,0.12692,3.679,7.13,0.787,0.0,191.0,928.0,527.956
Kepler-360 b,Kepler-360,0.044,1.65,3.36,4.11,0.0,415.434,1116.0,876.044
Kepler-360 c,Kepler-360,0.075,2.1,5.06,3.0,0.0,146.5,860.0,876.044
Kepler-361 b,Kepler-361,0.086,1.45,2.7,4.87,0.0,411.905,1060.0,930.32
Kepler-361 c,Kepler-361,0.3,2.52,6.9,2.37,0.0,33.948,568.0,930.32
Kepler-362 b,Kepler-362,0.087,0.88,0.615,4.96,0.0,207.336,838.0,1090.51
Kepler-362 c,Kepler-362,0.207,1.45,2.7,4.87,0.0,36.667,543.0,1090.51
Kepler-363 b,Kepler-363,0.048,1.16,1.65,5.81,0.0,1000.243,1347.0,762.596
Kepler-363 d,Kepler-363,0.107,2.05,4.86,3.1,0.0,203.761,905.0,762.596
Kepler-364 b,Kepler-364,0.178,1.55,3.02,4.46,0.0,68.71,753.0,891.462
Kepler-364 c,Kepler-364,0.312,2.15,5.27,2.91,0.0,22.234,568.0,891.462
Kepler-365 b,Kepler-365,0.098,2.04,4.82,3.12,0.0,132.15,865.0,1038.99
Kepler-365 c,Kepler-365,0.137,1.64,3.33,4.15,0.0,66.87,729.0,1038.99
Kepler-366 b,Kepler-366,0.045,1.46,2.73,4.82,0.0,1873.311,1326.0,1856.28
Kepler-366 c,Kepler-366,0.11,1.79,3.86,3.7,0.0,286.6,848.0,1856.28
Kepler-367 b,Kepler-367,0.201,1.3,2.24,5.6,0.0,5.985,401.0,188.027
Kepler-367 c,Kepler-367,0.253,1.2,1.87,5.95,0.0,3.761,357.0,188.027
